課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
10-1,10.     ,福利,fúlì,N,(work) benefits,phúc lợi (công việc),(งาน) ผลประโยชน์,(အလုပ်) အကျိုး,（仕事の）メリット,(일) 혜택,beneficios (laborales),(pekerjaan) manfaat,4
10-1,11.     ,具備,jùbèi,Vst,to have in one’s qualification,có trong hồ sơ năng lực,ให้มีคุณสมบัติตามสมควร,အရည်အချင်းရှိဖို့,資格として持っていること,자격을 갖추다,tener en la calificación de uno,dimiliki dalam kualifikasi seseorang,4
10-1,12.     ,限制,xiànzhì,N,restrictions,"hạn chế, quy định",ข้อ จำกัด,ကန့်သတ်ချက်များ,制限,제한,restricciones,pembatasan,4
10-1,13.     ,以上,yǐshàng,N,"above, over, more than","trên, hơn","เหนือ, เหนือ, มากกว่า",အထက်၊ ကျော်၊ ထက်,以上、以上、以上,"이상, 이상, 그 이상","arriba, encima, más que","di atas, di atas, lebih dari",4
10-1,14.     ,以下,yǐxià,N,"below, under, fewer than","dưới, ít hơn","ด้านล่าง, ด้านล่าง, น้อยกว่า",အောက်၊ အောက်၊ အောက်,以下、以下、より少ない,"이하, 이하, 이하","debajo, debajo, menos que","di bawah, di bawah, kurang dari",4
10-1,15.     ,相關,xiāngguān,Vs,"related, relevant",liên quan,"เกี่ยวข้อง, เกี่ยวข้อง",သက်ဆိုင်ရာ၊ သက်ဆိုင်ရာ,関連する、関連する,"관련된, 관련된","relacionado, relevante","terkait, relevan",4
10-1,16.     ,各位,gèwèi,N,"you (plural, formal)","các bạn (số nhiều, trang trọng)","คุณ (พหูพจน์, เป็นทางการ)",သင် (အများကိန်း၊ တရားဝင်),あなた（複数、正式）,"당신 (복수형, 형식적)","tú (plural, formal)","kamu (jamak, formal)",4
10-1,17.     ,應屆,yìngjiè,Vs-attr,"this year’s, upcoming","của năm nay, sắp tới",ปีนี้ที่กำลังจะมาถึง,ယခုနှစ်၊ လာမည့်,今年の、これからの,"올해, 다가오는","el de este año, el próximo","tahun ini, yang akan datang",4
10-1,18.     ,畢業生,bìyè shēng,N,graduate,sinh viên tốt nghiệp,เรียนจบ,ဘွဲ့ရသည်,卒業,졸업하다,graduado,lulus,4
10-1,19.     ,大一,dàyi ,N,"freshman, first-year university student (大二 sophomore, 大三 junior, 大四 senior)","sinh viên năm nhất đại học (năm 2: đại học năm hai, năm 3: đại học năm ba, năm 4: đại học năm tư)","น้องใหม่, นักศึกษามหาวิทยาลัยปีแรก (大二 นักเรียนปีที่สอง, รุ่นน้อง 大三, รุ่นพี่ 大四)",လူပျို၊ ပထမနှစ် တက္ကသိုလ်ကျောင်းသား (大二 ဒုတိယနှစ်၊ 大三 အငယ်တန်း၊ 大四 အထက်တန်း),大学1年生、大学1年生（大二・二年生、大三・三年生、四年生）,"신입생, 대학교 1학년생(大이 2학년, 大3 3학년, 大4 4학년)","estudiante de primer año, estudiante universitario de primer año (大二 estudiante de segundo año, 大三 junior, 大四 senior)","mahasiswa baru, mahasiswa tahun pertama (大二 mahasiswa tahun kedua, 大三 junior, 大四 senior)",4
10-1,20.     ,企劃部,qìhuàbù,N,"planning department (部 -bù, department)",ban kế hoạch,"แผนกวางแผน (部 -bù, แผนก)",စီမံကိန်းဌာန (部 -bù၊ ဌာန)၊,企画部（部）,"기획부 (부 -bù, 부서)","departamento de planificación (部 -bù, departamento)","departemen perencanaan (部 -bù, departemen)",4
10-1,21.     ,營運,yíngyùn,N,operations,"vận hành, hoạt động kinh doanh",การดำเนินงาน,စစ်ဆင်ရေး,オペレーション,운영,operaciones,operasi,4
10-1,22.     ,知識,zhīshì,N,knowledge,kiến thức,ความรู้,ဗဟုသုတ,知識,지식,conocimiento,pengetahuan,4
10-1,23.     ,社長,shèzhǎng,N,club president,chủ nhiệm câu lạc bộ,ประธานสโมสร,အသင်းဥက္ကဌ,クラブ会長,클럽 회장,presidente del club,presiden klub,4
10-1,24.     ,聯合,liánhé,Adv,jointly,"cùng nhau, chung sức",ร่วมกัน,ပူးပေါင်း,共同で,공동으로,conjuntamente,bersama,4
10-1,25.     ,音樂會,yīnyuè huì,N,concert,buổi hòa nhạc,คอนเสิร์ต,ဖျော်ဖြေပွဲ,コンサート,콘서트,concierto,konser,4
10-1,26.     ,節目,jiémù,N,"program, show, event","chương trình, sự kiện",รายการ การแสดง กิจกรรม,အစီအစဉ်၊ ပွဲ၊ ပွဲ,プログラム、ショー、イベント,"프로그램, 쇼, 이벤트","programa, espectáculo, evento","program, pertunjukan, acara",4
10-1,27.     ,好評,hǎopíng,N,"positive comments, praise","nhận xét tích cực, lời khen",ความคิดเห็นเชิงบวกสรรเสริญ,"အပြုသဘောဆောင်သောမှတ်ချက်များ, ချီးမွမ်း",肯定的なコメント、賞賛,"긍정적인 말, 칭찬","comentarios positivos, elogios","komentar positif, pujian",4
10-1,28.     ,企劃,qìhuà,V/N,to plan (used in business); a plan ,lên kế hoạch (dùng trong kinh doanh); một kế hoạch,วางแผน (ใช้ในธุรกิจ); แผน,အစီအစဉ်ဆွဲရန် (စီးပွားရေးတွင်သုံးသည်); အစီအစဉ်တစ်ခု,計画する（ビジネスで使用される）。計画,계획하다 (사업에 사용됨); 계획,planificar (usado en negocios); un plan,merencanakan (digunakan dalam bisnis); sebuah rencana,4
10-1,29.     ,領導,lǐngdǎo,V,to lead,"dẫn dắt, lãnh đạo",ที่จะเป็นผู้นำ,ဦးဆောင်ရန်,導く,이끌다,liderar,memimpin,4
10-1,30.     ,合作,hézuò,Vi,"to cooperate with, work with","hợp tác với, làm việc cùng","ร่วมมือกัน, ทำงานร่วมกับ",ပူးပေါင်းဆောင်ရွက်ရန်၊ လက်တွဲဆောင်ရွက်ပါ။,協力する、協力する,"협력하다, 협력하다","cooperar con, trabajar con","bekerja sama, bekerja dengan",4
10-1,31.     ,似乎,sìhū,Adv,seem,dường như,ดูเหมือน,ဘုန်းဘုန်း,思われる,~인 것 같다,parecer,tampaknya,4
10-1,32.     ,關於,guānyú,Prep,"related to, regarding",liên quan đến,"เกี่ยวข้องกับ, เกี่ยวกับ",နှင့် ပတ်သက်,に関連する、に関して,"관련된, ~에 관한","relacionado con, respecto a","terkait dengan, mengenai",4
10-1,33.     ,磨練,móliàn,N/V,"training, hone a skill; to train, hone, or to practice over time","rèn luyện, trau dồi kỹ năng; luyện tập qua thời gian",การฝึกอบรม เหลาทักษะ ฝึกฝน ฝึกฝน หรือฝึกฝนเมื่อเวลาผ่านไป,လေ့ကျင့်ရေး ၊ ကျွမ်းကျင်မှု ၊ လေ့ကျင့်ရန်၊ ဟန်ဆောင်ရန် သို့မဟုတ် အချိန်နှင့်အမျှ လေ့ကျင့်ရန်,トレーニング、スキルを磨く。訓練する、磨く、または時間をかけて練習する,"훈련하고, 기술을 연마하세요. 시간이 지남에 따라 훈련하고, 연마하고, 연습하기 위해","entrenar, perfeccionar una habilidad; entrenar, perfeccionar o practicar con el tiempo","pelatihan, mengasah keterampilan; melatih, mengasah, atau berlatih seiring waktu",4
10-1,34.     ,優點,yōudiǎn,N,"strong point, forte","điểm mạnh, sở trường","จุดแข็ง, ความแข็งแกร่ง",ခိုင်မာသောအချက်၊,長所、長所,"장점, 강점","punto fuerte, fuerte","titik kuat, keahlian",4
10-1,35.     ,上司,shàngsī,N,"supervisor, boss","người giám sát, sếp","ผู้บังคับบัญชา, เจ้านาย",ကြီးကြပ်ရေးမှူး၊ သူဌေး,上司、上司,"감독관, 상사","supervisor, jefe","penyelia, bos",4
10-1,36.     ,誇獎,kuājiǎng,V,"to praise, commend","khen ngợi, biểu dương",สรรเสริญชมเชย,ချီးမွမ်းရန်၊ ချီးမွမ်းရန်,褒める、褒める,"칭찬하다, 칭찬하다","alabar, elogiar","memuji, memuji",4
10-1,37.     ,週,zhōu,M,week,tuần,สัปดาห์,တစ်ပတ်,週 (shū),주 (ju),semana,pekan,4
10-1,38.     ,內,nèi,N,within,trong vòng,ภายใน,အတွင်း,内で,이내에,dentro,di dalam,4
10-1,39.     ,以,yǐ,Prep,to use (formal),sử dụng (trang trọng),ใช้ (เป็นทางการ),အသုံးပြုရန် (တရားဝင်),使用する（正式な）,사용하다 (형식적으로),usar (formal),digunakan (formal),4
10-1,40.     ,書面,shūmiàn,N,in writing,bằng văn bản,ในการเขียน,အရေးအသား,書面で,서면으로,escrito,secara tertulis,4
10-1,41.     ,通知,tōngzhī,V/N,to notify; a notification,thông báo; một thông báo,เพื่อแจ้งให้ทราบ; การแจ้งเตือน,အကြောင်းကြားရန်; အကြောင်းကြားစာ,通知する。通知,통지하다; 알림,notificar; una notificación,memberi tahu; pemberitahuan,4
10-1,42.     ,就…而言,jiù…éryán,,as far as…are concerned,đối với... mà nói,เท่าที่…เป็นห่วง,တတ်နိုင်သလောက်တော့…စိုးရိမ်တယ်။,…に関する限り,...에 관한 한,en lo que a... se refiere,sejauh… yang bersangkutan,4
10-1,43.     ,新鮮人,xīnxiānrén,,"freshman, (here) a person, usually a college graduate, new or “fresh” to the workforce","tân binh, (ở đây) người mới vào nghề, thường là sinh viên mới ra trường","น้องใหม่ (ที่นี่) บุคคลซึ่งโดยปกติจะเป็นบัณฑิตวิทยาลัย ใหม่หรือ ""สด"" ให้กับทีมงาน",လူပျို၊ (ဤတွင်) လူတစ်ဦး၊ များသောအားဖြင့် ကောလိပ်ဘွဲ့ရ၊ အသစ် သို့မဟုတ် “လတ်ဆတ်သော” လုပ်သားအင်အား,新入生、（ここでは）人、通常は大学卒業生、新しく働く人、または「新入社員」,"신입생, (여기서) 사람, 일반적으로 대학 졸업자, 새로 입사했거나 ""신선한"" 사람","estudiante de primer año, (aquí) una persona, generalmente un graduado universitario, nuevo o “fresco” en la fuerza laboral","mahasiswa baru, (di sini) seseorang, biasanya lulusan perguruan tinggi, baru atau “baru” memasuki dunia kerja",4
10-1,44.     ,面試官,miànshì guān,,interviewing officer,người phỏng vấn,เจ้าหน้าที่สัมภาษณ์,အင်တာဗျူးအရာရှိ,面接官,면접관,oficial de entrevistas,petugas pewawancara,4
10-1,45.     ,自我介紹,zìwǒ jièshào,,self-introduction,tự giới thiệu,การแนะนำตัวเอง,မိမိကိုယ်ကို မိတ်ဆက်ခြင်း။,自己紹介,자기소개,autopresentación,perkenalan diri,4
10-1,46.     ,所學有限,suǒxué yǒuxiàn,,what has been learned is only rather limited,những gì đã học chỉ là hữu hạn,สิ่งที่ได้เรียนรู้มานั้นค่อนข้างจำกัด,သင်ယူခဲ့တာတွေက အကန့်အသတ်တွေပဲရှိတယ်။,学んだことはかなり限られているだけです,배운 내용은 다소 제한적일 뿐입니다.,lo que se ha aprendido es bastante limitado,apa yang telah dipelajari hanya terbatas,4
10-2,1.        ,出國,chūguó,V-sep,to go abroad,đi nước ngoài,เพื่อไปต่างประเทศ,နိုင်ငံခြားသွားဖို့,海外に行く,해외로 가다,ir al extranjero,pergi ke luar negeri,4
10-2,2.        ,資金,zījīn,N,"capital, funds","vốn, tiền vốn","เงินทุน, กองทุน",အရင်းအနှီး၊ ရန်ပုံငွေ,資本、資金,"자본, 자금","capital, fondos","modal, dana",4
10-2,3.        ,廠商,chǎngshāng,N,manufacturer,nhà sản xuất,ผู้ผลิต,ထုတ်လုပ်သူ,メーカー,제조업체,fabricante,pabrikan,4
10-2,4.        ,例外,lìwài,N,exception,ngoại lệ,ข้อยกเว้น,ခြွင်းချက်,例外,예외,excepción,pengecualian,4
10-2,5.        ,關,guān,N,hurdle,"rào cản, chướng ngại",อุปสรรค์,အခက်အခဲ,ハードル,장애물,obstáculo,rintangan,4
10-2,6.        ,接觸,jiēchù,V,"to come in contact with, to contact","tiếp xúc với, liên hệ với","ที่จะติดต่อกับ, เพื่อติดต่อ",ဆက်သွယ်ရန်၊ ဆက်သွယ်ရန်,接触する、接触する,"접촉하다, 접촉하다","entrar en contacto con, contactar","datang dalam kontak dengan, menghubungi",4
10-2,7.        ,青年,qīngnián,N,"young people, youth","giới trẻ, thanh niên",คนหนุ่มสาวเยาวชน,လူငယ်၊ လူငယ်,若者、若者,"젊은이들, 청년들","jóvenes, juventud","pemuda, pemuda",4
10-2,8.        ,貸款,dàikuǎn,N,loan,khoản vay,เงินกู้,ချေးငွေ,ローン,대출,préstamo,meminjamkan,4
10-2,9.        ,開店,kāidiàn,V-sep,to open a store,mở cửa hàng,เพื่อเปิดร้าน,စတိုးဆိုင်ဖွင့်ရန်,店を開くには,가게를 열다,abrir una tienda,membuka toko,4
10-2,10.     ,料,liào,N,"material, (here) a person not suited for…","chất liệu, (ở đây) người không phù hợp với...",วัตถุ (ในที่นี้) บุคคลที่ไม่เหมาะกับ...,ပစ္စည်း၊ (ဒီမှာ) လူတစ်ယောက်အတွက် မသင့်တော်ဘူး၊,素材、（ここでは）向いてない人…,"물질, (여기) 어울리지 않는 사람…","material, (aquí) una persona no apta para…","materi, (di sini) orang yang tidak cocok untuk…",4
10-2,11.     ,損失,sǔnshī,Vpt,to lose,"thua, mất",ตก (tok) / หาย (hai) / ทำหาย (tham hai),ပြုတ်သည် (pyote thi) / ကျသည် (kya thi) / ပျောက်သည် (pyout thi),落とす (otosu) / なくす (nakusu),잃어버리다 (ireobeorida) / 떨어뜨리다 (tteoreotteurida),perder,kalah,4
10-2,12.     ,勇氣,yǒngqì,N,courage,can đảm,ความกล้าหาญ,သတ္တိ,勇気,용기,coraje,keberanian,4
10-2,13.     ,員工,yuángōng,N,employee,nhân viên,พนักงาน,ဝန်ထမ်း,従業員,직원,empleado,karyawan,4
10-2,14.     ,求職,qiúzhí,Vi,to seek employment,tìm việc làm,เพื่อหางานทำ,အလုပ်အကိုင်ရှာဖွေရန်,雇用を求める,일자리를 구하다,buscar empleo,mencari pekerjaan,4
10-2,15.     ,目標,mùbiāo,N,"target, (here) the most ideal job","mục tiêu, (ở đây) công việc lý tưởng nhất",เป้าหมาย (ที่นี่) งานที่เหมาะที่สุด,ပစ်မှတ်၊ (ဒီမှာ) အကောင်းဆုံးအလုပ်,ターゲット、（ここで）最も理想的な仕事,"목표, (여기) 가장 이상적인 직업","objetivo, (aquí) el trabajo más ideal","target, (di sini) pekerjaan paling ideal",4
10-2,16.     ,初步,chūbù,Vs-attr,"preliminary, initial","sơ bộ, ban đầu","เบื้องต้น, เริ่มต้น",ပဏာမ၊ ကနဦး,予備的な、初期の,"예비, 초기","preliminar, inicial","pendahuluan, awal",4
10-2,17.     ,技巧,jìqiǎo,N,tips,"mẹo, lời khuyên",เคล็ดลับ,အကြံပေးချက်များ,ヒント,팁,consejos,tip,4
10-2,18.     ,概念,gàiniàn,N,"concept, idea","khái niệm, ý tưởng",แนวคิดความคิด,အယူအဆ၊ အယူအဆ,コンセプト、アイデア,"컨셉, 아이디어","concepto, idea","konsep, ide",4
10-2,19.     ,挑,tiāo,V,"to select, pick","lựa chọn, chọn lựa",เพื่อเลือกเลือก,ရွေးရန်၊ ရွေးပါ။,選択する、選ぶ,"선택하다, 골라내다","seleccionar, escoger","memilih, pilih",4
10-2,20.     ,基本,jīběn,Vs,basic,cơ bản,ขั้นพื้นฐาน,အခြေခံ,基本的な,기초적인,básico,dasar,4
10-2,21.     ,襯衫,chènshān,N,button-up shirt,áo sơ mi có cúc,เสื้อติดกระดุม,ကြယ်သီးအင်္ကျီ,ボタンアップシャツ,버튼업 셔츠,camisa con botones,kemeja berkancing,4
10-2,22.     ,過程,guòchéng,N,process,quy trình,กระบวนการ,လုပ်ငန်းစဉ်,プロセス,프로세스,proceso,proses,4
10-2,23.     ,同班,tóngbān,,same class,cùng lớp,ชั้นเรียนเดียวกัน,အတန်းတူ,同じクラス,같은 반,misma clase,kelas yang sama,4
10-2,24.     ,是…的料,shì…de liào,,to be gifted in…,có năng khiếu về...,ที่จะได้รับเป็นของขวัญใน...,လက်ဆောင်ပေးဖို့…,プレゼントされるのは…,재능을 가지다…,ser dotado en…,dikaruniai…,4
10-2,25.     ,接下來,jiēxiàlái,,"and then, next","và sau đó, tiếp theo",แล้วต่อไป,ပြီးမှ၊ နောက်,そして、次は,그리고 다음에는,"y luego, el siguiente","dan kemudian, berikutnya",4
10-2,26.  ,提不起（勇氣）,tíbùqǐ(yǒngqì) ,,unable to raise…to a high level to pump up (enough courage),không thể lấy hết can đảm,ยก...ขึ้นสูงให้สูบฉีดไม่ได้ (ความกล้าพอ),မြင့်မားသောအဆင့်သို့မတက်နိုင် (လုံလောက်သောသတ္တိ)၊,…レベルを上げることができない（十分な勇気）,올릴 수 없습니다… 펌핑할 수 있는 높은 수준으로(충분한 용기),incapaz de elevar... a un nivel alto para inflar (suficiente coraje),tidak dapat menaikkan...ke level tinggi untuk memompa (cukup keberanian),4
10-2,27.     ,養家活口,yǎngjiā huókǒu,,support one's family,nuôi gia đình,สนับสนุนครอบครัวของตน,မိသားစုကိုထောက်ပံ့ပါ။,家族を養う,가족을 부양하다,apoyar a la familia,menghidupi keluarga seseorang,4
10-2,28.     ,來自,láizì,,from來 + literary preposition 自“from” = 從…來,đến từ,มาจาก (來 + คำบุพบทภาษาเขียน 自 “จาก” = 從…來),…မှလာသည် (來 + စာပေသုံး ဝိဘတ် 自 “မှ” = 從…來),…から来る（來＋文語の前置詞 自「…から」＝從…來）,…에서 오다 (來 + 문어 전치사 自 “…에서” = 從…來),venir de (來 + la preposición literaria 自 «de» = 從…來),dari來 + preposisi sastra 自“dari” = 從…來,4
10-2,29.     ,熟讀,shóudú,,to keep reading something until one remembers everything,đọc đi đọc lại cho đến khi thuộc lòng,ให้อ่านบางสิ่งบางอย่างจนกว่าจะจำทุกอย่างได้,တစ်စုံတစ်ယောက်သည် အရာအားလုံးကို မမှတ်မိမချင်း တစ်ခုခုကို ဆက်ဖတ်ရန်,すべてを思い出すまで何かを読み続けること,모든 것을 기억할 때까지 계속 읽으다,seguir leyendo algo hasta que uno lo recuerde todo,terus membaca sesuatu sampai seseorang mengingat semuanya,4
10-2,30.     ,考古題,kǎogǔtí,,"test items from previous years(題-tí, for test items)",các đề thi những năm trước,รายการทดสอบจากปีก่อนๆ(題-tí สำหรับรายการทดสอบ),ယခင်နှစ်များမှ စမ်းသပ်ပစ္စည်းများ (題-tí၊ စမ်းသပ်ပစ္စည်းများအတွက်),前年の試験項目（試験項目の場合は題-tí）,"전년도 테스트 항목(題-tí, 테스트 항목에 대한)","elementos de prueba de años anteriores (題-tí, para elementos de prueba)","soal ujian dari tahun sebelumnya(題-tí, untuk soal ujian)",4
10-2,31.     ,沙盤推演,shāpán tuīyǎn,,"to rehearse; a dry run, a practice run","diễn tập; một buổi chạy thử, tập dượt",ซ้อม; การวิ่งแบบแห้ง การวิ่งฝึกซ้อม,အစမ်းလေ့ကျင့်ရန်၊ အခြောက်အပြေး၊ လေ့ကျင့်ပြေး,リハーサルをする。予行演習、練習走行,"리허설하다; 드라이 런, 연습 런","ensayar; un ensayo, una carrera de práctica","berlatih; lari kering, lari latihan",4
10-2,32.     ,深藍色,shēnlán sè,,dark blue,màu xanh đậm,สีน้ำเงินเข้ม,နက်ပြာရောင်,ダークブルー,진한 파란색,azul oscuro,biru tua,4
11-1,1.        ,種族,zhǒngzú,N,"ethnic group, race","dân tộc, chủng tộc",กลุ่มชาติพันธุ์เชื้อชาติ,လူမျိုးစု၊ လူမျိုး,民族、人種,"민족, 인종","grupo étnico, raza","kelompok etnis, ras",4
11-1,2.        ,熔爐,rónglú,N,"melting pot, smelting furnace, crucible","nồi nấu kim loại, nơi hòa trộn","หม้อหลอม, เตาหลอม, เบ้าหลอม",အရည်ပျော်သောအိုး၊ အရည်ကျိုမီးဖို၊ crucible,るつぼ、溶解炉、るつぼ,"용광로, 제련로, 도가니","crisol, horno de fundición, crisol","panci peleburan, tungku peleburan, wadah",4
11-1,3.        ,偏偏,piānpiān,Adv,"deliberately, insist on","cố ý, nhất quyết",จงใจยืนกรานต่อไป,တမင်တကာ တွန်းအားပေးပါ။,意図的に、主張する,일부러 고집하다,"deliberadamente, insistir en","sengaja, bersikeras",4
11-1,4.        ,肯,kěn,Vaux,be willing to,sẵn lòng,เต็มใจที่จะ,ဆန္ဒရှိပါစေ။,喜んで,기꺼이,estar dispuesto a,bersedia,4
11-1,5.        ,母語,mǔyǔ,N,mother tongue,tiếng mẹ đẻ,ภาษาแม่,မိခင်ဘာသာစကား,母国語,모국어,lengua materna,bahasa ibu,4
11-1,6.        ,口音,kǒuyīn,N,accent,"giọng, chất giọng",สำเนียง,လေယူလေသိမ်း,アクセント,악센트,acento,aksen,4
11-1,7.        ,適應,shìyìng,V,"to adapt to, get used to","thích nghi với, làm quen với",เพื่อปรับตัวให้ชินกับ,လိုက်လျောညီထွေဖြစ်အောင်၊ အသုံးချပါ။,適応する、慣れる,"적응하다, 익숙해지다","adaptarse a, acostumbrarse a","beradaptasi, membiasakan diri",4
11-1,8.        ,了不起,liǎobùqǐ,Vs,"terrific, amazing, really something","tuyệt vời, đáng kinh ngạc",ยอดเยี่ยม น่าทึ่ง มีบางอย่างจริงๆ,အံ့သြစရာကောင်းတဲ့၊ အံ့သြစရာကောင်းတဲ့၊ တကယ်ကိုတစ်ခုခု,すごい、すごい、本当に何か,"대단한, 놀라운, 정말 뭔가","fantástico, sorprendente, realmente algo","hebat, luar biasa, sungguh sesuatu",4
11-1,9.        ,交流,jiāoliú,Vi,"to exchange, associate","trao đổi, giao lưu",เพื่อแลกเปลี่ยนร่วม,ဖလှယ်ရန်၊ ပေါင်းသင်းရန်,交換する、結び付ける,"교환하다, 연합하다","intercambiar, asociar","bertukar, mengasosiasikan",4
11-1,10.     ,志工,zhìgōng,N,volunteer,tình nguyện viên,อาสาสมัคร,စေတနာ့ဝန်ထမ်း,ボランティア,자원 봉사자,voluntario,sukarelawan,4
11-1,11.     ,縣,xiàn,N,county,"hạt, quận",เขต,ခရိုင်,郡,군,condado,daerah,4
11-1,12.     ,市,shì,N,city,thành phố,เมือง (mueang) / นคร (nakorn),မြို့ (myo),都市 (toshi) / 市 (shi),도시 (dosi),ciudad,kota,4
11-1,13.     ,外籍,wàijí,Vs-attr,foreign national,người nước ngoài,ชาวต่างชาติ,နိုင်ငံခြားအမျိုးသား,外国人,외국인,ciudadano extranjero,warga negara asing,4
11-1,14.     ,配偶,pèi’ǒu,N,spouse,vợ/chồng,คู่สมรส,အိမ်ထောင်ဖက်,配偶者,배우자,cónyuge,pasangan,4
11-1,15.     ,焦慮,jiāolǜ,Vs,to be anxious,lo lắng,จะต้องกังวล,စိတ်စောဖို့၊,不安になる,불안하다,estar ansioso,menjadi cemas,4
11-1,16.     ,溝通,gōutōng,N,communication,giao tiếp,การสื่อสาร,ဆက်သွယ်ရေး,コミュニケーション,의사소통,comunicación,komunikasi,4
11-1,17.     ,障礙,zhàng’ài,N,"obstacle, handicap","trở ngại, khuyết tật","อุปสรรค, ความพิการ",အတားအဆီး၊ အသာစီး,障害物、ハンディキャップ,"장애물, 장애","obstáculo, desventaja","rintangan, cacat",4
11-1,18.     ,良好,liánghǎo,Vs,positive,tích cực,เชิงบวก,အပြုသဘော,ポジティブ,긍정적인,positivo,positif,4
11-1,19.     ,以往,yǐwǎng,Adv,"formerly, heretofore","trước đây, trước kia",เมื่อก่อนนี้,ယခင်က၊ ဤနေရာတွင်,以前、これまで,"이전에, 지금까지","anteriormente, hasta ahora","dulu, sampai sekarang",4
11-1,20.     ,面對,miànduì,V,"to face, confront","đối mặt, đương đầu",เผชิญหน้าเผชิญหน้า,ရင်ဆိုင်ရန်၊ ရင်ဆိုင်ပါ။,直面する、対峙する,"직면하다, 직면하다","enfrentar, confrontar","menghadapi, menghadapi",4
11-1,21.     ,衝擊,chōngjí,N,impact,"tác động, ảnh hưởng",ผลกระทบ,ထိခိုက်မှု,インパクト,영향,impacto,dampak,4
11-1,22.     ,大眾,dàzhòng,N,"the public, the masses","công chúng, quần chúng",ประชาชนมวลชน,လူထု၊ လူထု,大衆、大衆,"대중, 대중","el publico, las masas","masyarakat, massa",4
11-1,23.     ,難以,nányǐ,Adv,to find it difficult to ,thấy khó khăn để,ที่จะพบว่ามันยากที่จะ,အခက်တွေ့စေတယ်။,難しいと感じる,어렵다고 생각하다,tener dificultades para,merasa sulit untuk melakukannya,4
11-1,24.     ,認同,rèntóng,V,"to identify with, accept","hòa nhập, chấp nhận",เพื่อระบุด้วยยอมรับ,ခွဲခြားသတ်မှတ်ရန်၊ လက်ခံပါ။,共感する、受け入れる,"동일시하다, 받아들이다","identificarse con, aceptar","mengidentifikasi, menerima",4
11-1,25.     ,跨國,kuàguó,Vs-attr,transnational,xuyên quốc gia,ข้ามชาติ,နိုင်ငံဖြတ်ကျော်,国境を越えた,초국적,transnacional,transnasional,4
11-1,26.     ,大量,dàliàng,Adv,in large quantities,với số lượng lớn,ในปริมาณมาก,အမြောက်အမြား,大量に,대량으로,en grandes cantidades,dalam jumlah besar,4
11-1,27.     ,移入,yírù,V,"to immigrate (入, enter, into (formal))",nhập cư,"อพยพ (入, เข้าไป, เข้าสู่ (เป็นทางการ))",ရွှေ့ပြောင်းနေထိုင်ရန် (入၊ ဝင်၊ (တရားဝင်))၊,移住する (入る、入る、(正式)),"이민하다 (入, 들어가다, (형식적으로))","inmigrar (入, entrar, en (formal))","berimigrasi (入, masuk, ke (formal))",4
11-1,28.     ,憂慮,yōulǜ,Vst,to worry,lo lắng,กังวล,စိတ်မပူရန်,心配する,걱정하다,preocuparse,khawatir,4
11-1,29.     ,降低,jiàngdī,V,"to reduce, lower","giảm, hạ thấp","เพื่อลด, ลดต่ำลง",လျှော့ချရန်၊ လျှော့ချရန်,減らす、下げる,"줄이다, 낮추다","reducir, bajar","mengurangi, menurunkan",4
11-1,30.     ,素質,sùzhí,N,quality,chất lượng,คุณภาพ,အရည်အသွေး,品質,품질,calidad,kualitas,4
11-1,31.     ,歧視,qíshì,Vst,to discriminate,phân biệt đối xử,ที่จะเลือกปฏิบัติ,ခွဲခြားဆက်ဆံရန်,差別する,차별하다,discriminar,melakukan diskriminasi,4
11-1,32.     ,子女,zǐnǚ,N,children (from 兒子＋女兒),con cái (từ 兒子 + 女兒),เด็ก ๆ (จาก 兒子＋女兒),ကလေးများ (兒子＋女兒 မှ),子供たち (兒子＋女兒より),어린이(兒子＋女兒부터),niños (de 兒子＋女兒),anak-anak (dari 兒子＋女兒),4
11-1,33.     ,資產,zīchǎn,N,"asset, resource","tài sản, nguồn lực",สินทรัพย์ทรัพยากร,ပိုင်ဆိုင်မှု၊ အရင်းအမြစ်,資産、資源,"자산, 자원","activo, recurso","aset, sumber daya",4
11-1,34.     ,應,yīng,Vaux,"should, ought to (formal)","nên, phải (trang trọng)","ควร, ควรจะ (เป็นทางการ)","should, ought (တရားဝင်)",すべきです、すべきです（正式な）,"해야 한다, 해야 한다(형식적으로)","debería, debería (formal)","seharusnya, seharusnya (formal)",4
11-1,35.     ,平等,píngděng,N,equality,bình đẳng,ความเท่าเทียมกัน,တန်းတူညီမျှမှု,平等,평등,igualdad,persamaan,4
11-1,36.     ,相互,xiānghù,Adv,"mutually, each other","lẫn nhau, qua lại",ซึ่งกันและกัน,အပြန်အလှန်၊,相互に、お互いに,"서로, 서로","mutuamente, unos a otros","saling, satu sama lain",4
11-1,37.     ,外人,wàirén,N,outsider,người ngoài cuộc,คนนอก,အပြင်လူ,アウトサイダー,문외한,forastero,orang luar,4
11-1,38.     ,聯絡,liánlào,V,"to contact, to connect with","liên lạc với, kết nối với","เพื่อติดต่อ, เพื่อเชื่อมต่อกับ",ဆက်သွယ်ရန်၊ ဆက်သွယ်ရန်,連絡する、つながる,"연락하다, 연결하다","contactar, conectarse con","menghubungi, terhubung dengan",4
